id,name,overview,genre_ids,poster_path,vote_average
127532,Solo Leveling,"They say whatever doesn’t kill you makes you stronger, but that’s not the case for the world’s weakest hunter Sung Jinwoo. After being brutally slaughtered by monsters in a high-ranking dungeon, Jinwoo came back with the System, a program only he could see, that’s leveling him up in every way. Now, he’s inspired to discover the secrets behind his powers and the dungeon that spawned them.","[16, 10759, 10765]",/geCRueV3ElhRTr0xtJuEWJt6dJ1.jpg,8.6
66515,Brothers,"Ador is a well known and respected CIDG Police Official, with a loving family as his support. Cardo, on the other hand, loves the solitude of the mountains in the province as a SAF Trooper. Their lives take a sudden turn when Ador gets himself entangled in a syndicate by being betrayed by one of his own colleagues, resulting to his death. To conceal this fact, Cardo was ordered to pretend to be Ador and finish the mission what his brother left behind. He will also be force to pretend to his brother's family and friends, and be re-united with his grandmother, whom he despised, for assuming she abandoned him.","[18, 10759]",/uX5ldo2snjJuZ8P9AxOharboxJn.jpg,6.6
65733,Doraemon,"Robotic cat Doraemon is sent back in time from the 22nd century to protect 10-year-old Noby, a lazy and uncoordinated boy who is destined to have a tragic future. Doraemon can create secret gadgets from a pocket on his stomach, but they usually cause more bad than good because of Noby's propensity to misuse them.","[10759, 16, 35, 10765, 10762, 10751]",/9ZN1P32SHviL3SV51qLivxycvcx.jpg,8.0
34860,Ninja Boy Rantaro,"Rantarō, Shinbei and Kirimaru are ninja  apprentices in the Ninja Gakuen, where first grade ones are called  ""Nintamas"". They must learn  everything a ninja must know, but as for our heroes, money, food or  playing are more interesting. The series show the everyday adventures of  our heroes.","[35, 10759, 10762, 16, 10751]",/xdnt8Dx5Z8Ad78GfqSSsk9kv4tB.jpg,6.2
108978,Reacher,"Jack Reacher, a veteran military police investigator, has just recently entered civilian life. Reacher is a drifter, carrying no phone and the barest of essentials as he travels the country and explores the nation he once served.","[10759, 80, 18]",/31GlRQMiDunO8cl3NxTz34U64rf.jpg,8.107
4614,NCIS,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.","[80, 18, 10759]",/mBcu8d6x6zB1el3MPNl7cZQEQ31.jpg,7.628
20785,Points of View,"Points of View is a long-running British television series broadcast on BBC One. It started in 1961 and features the letters of viewers offering praise, criticism and purportedly witty observations on the television of recent weeks.","[35, 16, 99, 10759]",/o8Aytnqv5rfkuOO3airAcT9bOdG.jpg,0.0
95557,INVINCIBLE,"Mark Grayson is a normal teenager except for the fact that his father is the most powerful superhero on the planet. Shortly after his seventeenth birthday, Mark begins to develop powers of his own and enters into his father’s tutelage.","[16, 10765, 10759, 18]",/jBn4LWlgdsf6xIUYhYBwpctBVsj.jpg,8.6
56426,KochiKame,"Ryoutsu, being an underpayed policeman, is always coming up with ways to make some quick money. But in the end, his plans which are ridiculous from the beginning always go wrong and land him in big trouble.","[16, 35, 80, 10751, 10759]",/ujltFuzCZ9FLe07kTRLZ2gpIJVY.jpg,7.9
46707,WWE Main Event,WWE Main Event is a professional wrestling television program produced by WWE that airs on Peacock and streams on Hulu Plus in the United States. The show features WWE wrestlers and complements WWE's primary programs Raw and SmackDown.,"[10759, 18, 10764]",/yVZdqmVMI09F7GzFvDJCc36oBkT.jpg,7.8
1399,Game of Thrones,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.","[10765, 18, 10759]",/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg,8.456
2661,Kamen Rider,"Takeshi Hongo is a promising young man with a passion for motorcycle racing. However, his dreams are suddenly ruined when he gets kidnapped by Shocker, the evil secret organization planning to dominate the world. After being remodeled into a cyborg, Takeshi escapes and swears to protect the world from the inhuman monsters.","[10759, 10765, 18]",/fIJNVBa6MJStPiOvhLV69nAdu0e.jpg,6.4
68921,WWE 205 Live,WWE's division of Cruiserweight's battle it out to decide who is the greatest wrestler under 205lbs.,"[10759, 18]",/f6NlvoEJH8KxQI58ecTBkcsbQVF.jpg,5.6
35442,Cardfight!! Vanguard,"Aichi Sendou is a timid third-year middle school student who has always lived his life looking backwards rather than forward. However, he has a card called ""Blaster Blade"" that was given to him when he was little, which is the sole thing that sustains him. Then Toshiki Kai, a cool-hearted high schooler, introduces Aichi to a card game called ""Vanguard"". When participants battle they picture they are on a planet called ""Clay"", and since Vanguard features a never before seen game system it has become popular around the world. Aichi immediately likes Vanguard, so he begins to play it with his friends Misaki Togura and Kamui Katsuragi, and others like his new rival Kai (who is one of the best Vanguard players). Aichi plays every day and he strives with all his soul and heart to play better, so when he battles Kai, Kai will recognize Aichi's worth.","[10759, 16, 35]",/mm0ULBbs9XrHq4OAE8VUa84wvgi.jpg,5.3
45140,Teen Titans Go!,"Robin, Starfire, Raven, Beast Boy and Cyborg return in all-new, comedic adventures. They may be super heroes who save the world every day ... but somebody still has to do the laundry!","[16, 35, 10759, 10765, 10751]",/udaLIJ6Na7GOHjvTlyP9JFPTccv.jpg,6.5
80885,Ninja Hattori-kun,"11-year-old Kenichi Mitsuba is an average kid who goes to secondary school and struggles with his studies, he is very stubborn and is very lazy and therefore always ends up frustrating his parents and teacher. He loves to find an easy way of things. He befriends Hattori Kanzo, a ninja from the Iga Clan, and he becomes part of the Mitsuba family along with his brother, Shinzo and his ninja dog, Shishimaru. Hattori helps Kenichi with his problems, and constantly keeps an eye on him, as a good friend. The main antagonist Kemumaki, a Koga ninja and his ninja cat, Kagechiyo always troubles Kenichi, mainly because of their feud over one girl, Yumeko. Kenichi asks Hattori to take revenge as a recurring storyline in many episodes. Although Hattori is a good friend, Kenichi sometimes fights with Hattori due to misunderstandings created by Kemumaki. Sometimes Jippou, Togejirou and Tsubame help him.","[16, 10759, 35, 10751, 10762]",/zVSx7lXxRKqXiQMgN6QNGgNyF5R.jpg,6.833
76572,Soul Land,"Tang San spent his life in the Tang Outer Sect, dedicated to the creation and mastery of hidden weapons. Once he stole the secret lore of the Inner Sect to reach the pinnacle of his art, his only way out was death. But after throwing himself off the deadly Hell's Peak he was reborn in a different world, the world of Douluo Dalu, a world where every person has a spirit of their own, and those with powerful spirits can practice their spirit power to rise and become Spirit Masters.

The spirit that awakens within Tang San is Blue Silver Grass, a useless spirit. Can he overcome the difficulties to reach the high ranks of Spirit Masters and bring the glory of the Tang Sect into this new world?","[16, 18, 10765, 10759]",/6E2kaDlU1xlV9dWx0NZFbOEmFWZ.jpg,8.3
215803,Batang Quiapo,"A young man rises to be one of the biggest outlaws in the neighborhood while he navigates his way in life to survive in Quiapo. Hoping to earn the affection of his parents, his feat draws him closer to the truth about his identity.","[18, 10759, 35]",/9McqS8mgMf5NJCAKZIY6J1oOl8y.jpg,6.9
32798,Hawaii Five-0,"Steve McGarrett returns home to Oahu, in order to find his father's killer. The governor offers him the chance to run his own task force (Five-0). Steve's team is joined by Chin Ho Kelly, Danny ""Danno"" Williams, and Kono Kalakaua.","[80, 18, 10759]",/sIdCKlmM2nU4akIvFQaAIiU8YES.jpg,7.755
60625,Rick and Morty,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.","[16, 35, 10765, 10759]",/gdIrmf2DdY5mgN6ycVP0XlzKzbE.jpg,8.688
5291,Homicide,Homicide was an Australian television police drama series  The series dealt with the homicide squad of the Victorian Police force and the various crimes and cases the detectives are called upon to investigate. Many episodes were based on real life crime cases.,"[18, 80, 10759]",/vL44ejhfQ7xmEDXwvugeNdM4E0b.jpg,4.3
233742,Newtopia,"Jae-yoon, a late military enlistee, and his girlfriend, Young-joo, break up over the phone over growing misunderstandings. But a zombie outbreak rocks the world. A national emergency is declared, a plane crashes in the city center, and Jae-yoon and his unit get trapped on top of a Seoul skyscraper. Young-joo risks the zombie-filled streets to find him. Can their love survive the apocalypse?","[10765, 10759, 35]",/cIC36RA59lg9ruYtPc7UA3f72yy.jpg,7.9
31179,The Lone Ranger,"The Lone Ranger is an American western television series that ran from 1949 to 1957, starring Clayton Moore with Jay Silverheels as Tonto. The live-action series initially featured Gerald Mohr as the episode narrator. Fred Foy served as both narrator and announcer of the radio series from 1948 to its finish and became announcer of the television version when story narration was dropped there. This was by far the highest-rated television program on the ABC network in the early 1950s and its first true ""hit"".","[37, 10759]",/sAQSKgrYC0l5kQbLk8QXINAK6F4.jpg,6.6
14774,ECW Hardcore TV,"ECW Hardcore TV is a hard-hitting, edgy alternative to more mainstream sports entertainment programming.",[10759],/2IxWmRipe3P66iBXnLc79JLcTC0.jpg,7.1
3894,WWE ECW,"ECW was a professional wrestling television program for WWE, based on the independent Extreme Championship Wrestling promotion that lasted from 1992 to 2001. The show's name also referred to the ECW brand, in which WWE employees were assigned to work and perform, complementary to WWE's other brands, Raw and SmackDown. It debuted on June 13, 2006 on Sci Fi in the United States and ran for close to four years until it aired its final episode on February 16, 2010 on the rebranded Syfy. It was replaced the following week with WWE NXT.","[10759, 18]",/h3qIiG22Uy62ZgLLtXkh5PdfiSL.jpg,6.6
5653,MegaMan NT Warrior,"In the year 20XX, a young boy named Netto Hikari receives a very special gift as he enters the 5th grade: his very own customized Net Navi, Rockman.","[10759, 16, 10765]",/roZllkX4mOoDAKljFtpYJzD41Kn.jpg,7.825
240,Jackie Chan Adventures,"Jackie Chan teams up in this animé-style adventure with his 11-year-old niece, Jade, traveling the globe to locate a dozen magical talismans before the sinister Dark Hand does. Helping Jackie and Jade is Uncle, a cantankerous but wise antiquities expert. Though officially Jackie works as an archaeologist, in reality he also assists Captain Black, leader of the covert police squad Section 13.","[10759, 16, 35, 10765]",/by2GTFpd2BQ5uJxWPlfcmfrNrfB.jpg,8.162
5622,Hamtaro,"The cute and cuddly pet of 10-year-old Laura, Hamtaro is a small hamster with a big sense of adventure! Join Hamtaro and the adorable rodent rascals who captured the hearts of millions of children the world over.","[16, 10759, 10762]",/heeMIthcPavUaNJJl0YPARva2ua.jpg,7.9
79061,Craig of the Creek,"Craig and his friends, Kelsey and JP, venture out into a kid-controlled wilderness in the creek.","[16, 10759, 10751, 10762, 35]",/u4LaONJSBi0khRe2L8nqBk81dlc.jpg,8.1
65334,Miraculous: Tales of Ladybug & Cat Noir,"Marinette and Adrien, two Parisian teenagers, are entrusted with powerful jewels in order to transform into superheroes Ladybug and Cat Noir. But neither hero knows the other's true identity — or that they're classmates!","[10759, 16, 10762]",/3bxuTGk0c98gQkgBcKzC6HxQ8B6.jpg,8.1
2408,The Wild Thornberrys,"Travel the world with the Thornberrys and come face-to-face with blue sheep in Nepal, emus in Australia, marmots in Pakistan, flash floods in Siberia, Egyptian burial chambers, a runaway hot air balloon, a rock slide on the Karakoram Highway and more!","[16, 35, 10759, 10762, 10751]",/6SHAvvwmOFJwFhbkAqa6MjsiO7P.jpg,6.848
2288,Prison Break,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside out.","[10759, 80, 18]",/5E1BhkCgjLBlqx557Z5yzcN0i88.jpg,8.1
8872,Aquarion,"Set in the future, a giant fighting machine called the Aquarion is humanity's only effective weapon in the fight against the technologically advanced species called the Shadow Angels.","[10759, 16, 18, 10765]",/b7nYCiRLElXOcSICrZ8jdBqQP1m.jpg,6.8
31991,WWE NXT,Wrestlers will portray heroes or villains as they follow a series of events that build tension and culminate in a wrestling match or series of matches.,"[10759, 18]",/5Y1B9huNW3kwsx6YQ2Fhm8LnVYc.jpg,6.7
15226,C.I.D.,"The first thrilling investigative series on Indian Television, is today one of the most popular shows on Sony Entertainment Television. Dramatic and absolutely unpredictable, Crime Investigation Department (C.I.D.) has captivated viewers over the last eleven years and continues to keep audiences glued to their television sets with its thrilling plots and excitement. Also interwoven in its fast-paced plots are the personal challenges that the C.I.D. team faces with non-stop adventure, tremendous pressure and risk, all in the name of duty. The series consists of hard-core police procedural stories dealing with investigation, detection and suspense. The protagonists of the serial are an elite group of police officers belonging to the Crime Investigation Department of the police force, led by ACP Pradyuman.","[10759, 80, 18, 9648]",/60ZxbAMk6QO8jMD0p8WrGHVCbyK.jpg,5.9
101172,Swallowed Star,"On the Earth, a catastrophe triggered the variation of all kinds of species. The superior survived and the inferior were extinct. Under this circumstance, Luo Feng inherited from the owner of Yunmo Star and became one of the three strongest people on the Earth. He lost his flesh during the fight against giant swallowed monster but then he took the flesh of the monster. In the flesh, he developed a human body. Later, he stepped out of the Earth and headed to the universe.","[16, 10765, 10759]",/wVrY2thMH4Lca1OmA3EI2piVm6L.jpg,8.7
80020,Super Dragon Ball Heroes,"Trunks returns from the future to train with Goku and Vegeta. However, it disappears without warning. Then the mysterious Fu bursts in, telling them that Trunks has been imprisoned in the Prison Planet, a mysterious complex in an unknown place in the universes. The group seeks the dragon balls to free Trunks, but an endless battle awaits them! Will Goku and the others rescue Trunks and escape the Prison Planet?","[16, 10759, 10765]",/8jq6xv5c1WK7KAPOXCsodm8eUxp.jpg,7.565
600,Renegade,"Framed for murder, Detective Reno Raines becomes a fugitive bounty hunter who fights crime while trying to clear his name. His troubles began after he testified about police corruption, leading Lt. Donald Dixon to set him up.","[10759, 18, 80]",/xdpsXW6uAJDWOA0xsWX6tJACQmF.jpg,6.609
2287,Batman,"Wealthy entrepreneur Bruce Wayne and his ward Dick Grayson lead a double life: they are actually crime fighting duo Batman and Robin. A secret Batpole in the Wayne mansion leads to the Batcave, where Police Commissioner Gordon often calls with the latest emergency threatening Gotham City. Racing to the scene of the crime in the Batmobile, Batman and Robin must (with the help of their trusty Bat-utility-belt) thwart the efforts of a variety of master criminals, including The Riddler, The Joker, Catwoman, and The Penguin.","[10765, 35, 10759]",/1ZEJuuDh0Zpi5ELM3Zev0GBhQ3R.jpg,7.3
17463,Kid vs. Kat,"Kid vs. Kat is a Canadian-American animated television series developed and produced at Studio B Productions. The show was created and co-directed by Rob Boutilier. The series is distributed by Studio B Productions. The feature revolves around a 10-year-old boy's constant battle with his sister's Sphinx cat which, in reality, is a cybernetic alien.

The show premiered on YTV in Canada on October 25, 2008, aired on Disney XD in the United States on February 21, 2009, and then ended on June 4, 2011. It ran for 2 seasons, spanning 52 episodes.","[10759, 16, 35, 10765, 10751, 10762]",/1f3DyCY4Xe6ZxN2blj0gNdWhS71.jpg,7.9
5375,Emergency!,"The crew of Los Angeles County Fire Department Station 51, particularly the paramedic team, and Rampart Hospital respond to emergencies in their operating area.","[10759, 18]",/or94yBr8bwDPYYY3n8OIu0Q32S3.jpg,7.8
30669,Yu Yu Hakusho,"One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World was caught by surprise that he would sacrifice himself. Yusuke soon finds out he wasn't supposed to die and has a chance for resurrection and bringing his body back to life. After being resurrected, Yusuke becomes a Spirit Detective, along with his comrades, and one adventure after another happens, whether it be an investigation or a fighting tournament.","[16, 10759, 10765]",/5OnjguJwkujo3R23w95EEX8eAEN.jpg,8.5
57243,Doctor Who,"The Doctor is a Time Lord: a 900 year old alien with 2 hearts, part of a gifted civilization who mastered time travel. The Doctor saves planets for a living—more of a hobby actually, and the Doctor's very, very good at it.","[10759, 18, 10765]",/4edFyasCrkH4MKs6H4mHqlrxA6b.jpg,7.5
167,La Femme Nikita,"La Femme Nikita was a Canadian action/drama television series based on the French film Nikita by Luc Besson. The series was co-produced by Jay Firestone of Fireworks Entertainment and Warner Bros.. It was adapted for television by Joel Surnow. The series was first telecast in North America on the USA Network cable channel on January 13, 1997, and ran for five television seasons—until March 2001. The series was also aired in Canada on the over-the-air CTV Television Network. La Femme Nikita was the highest-rated drama on American basic cable during its first two seasons. It was also distributed in some other countries, and it continues to have a strong cult following.","[10759, 18]",/pFao5i4giBsGl7QQBXi7oMUPzCn.jpg,7.443
45952,Hunter × Hunter,"Gon Freecss discovers that the father he had always been told was dead was actually alive the whole time. Ging is a famous Hunter: an individual who has proven themself an elite member of humanity. Gon becomes determined to follow in his father's footsteps, pass the rigorous Hunter Examination.","[10765, 10759, 16, 35, 18]",/eobAuhCJA8oRp814V67WhezVXtQ.jpg,8.5
40424,Initial D,"Takumi’s job as a tofu delivery boy has turned him into one of the most formidable drivers around. Behind the wheel of his Eight-Six, he’s one with the road—and his life shifts into high gear when the underground street racing world takes notice. Drivers from across the region are lining up for a shot at the new guy. Takumi’s not just focused on winning—he’s out to prove he’s the best.","[16, 10759, 18]",/7C1PMnV0uMrMNcfws5J7aLNxe3Q.jpg,7.9
4629,Stargate SG-1,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.","[10765, 10759, 9648]",/dQjmI7XxI47v8IM2MUysHG0LuU2.jpg,8.3
32836,Back Streets,"The series tells the story of the family lives of the police officers working in a special team of the Istanbul Police Department's Public Security Department and their adventures on the streets of Istanbul. The team encounters different and diverse human stories during their missions. The Istanbul Police Chief Rıza Soylu (Zafer Ergin), with his years of experience and fatherhood, approaches these stories, which at times make them smile and at other times are heartbreaking, and guides the other young members of the team.","[10759, 80, 18, 10751, 9648, 35]",/mxFzuKK8yEz9KdJXb6sPlhUU07s.jpg,6.2
655,Star Trek: The Next Generation,"Follow the intergalactic adventures of Capt. Jean-Luc Picard and his loyal crew aboard the all-new USS Enterprise NCC-1701D, as they explore new worlds.","[10765, 10759, 18, 9648]",/vkLzXddgUKH5VcpnYiRzpJFrZhz.jpg,8.4
50137,RWBY,"The future-fantasy world of Remnant is filled with ravenous monsters, treacherous terrain, and more villains than you can shake a sniper-scythe at. Fortunately, Beacon Academy is training Huntsmen and Huntresses to battle the evils of the world, and Ruby, Weiss, Blake, and Yang are ready for their first day of class.","[16, 10759, 10765]",/pTLBkalS00rc9FSxgdt4bcwWdvH.jpg,7.9
44217,Vikings,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.","[10759, 18, 10768]",/bQLrHIRNEkE3PdIWQrZHynQZazu.jpg,8.094
17572,Kick Buttowski: Suburban Daredevil,"Clarence Buttowski, a young boy, aspires to become the world's greatest daredevil, as he gets help from Gunther, his loyal friend and partner-in-crime.","[16, 10759, 35, 10762]",/syxcG3suyf3U00z5HOuLbZ9eozl.jpg,8.102
50,Pacific Blue,"Pacific Blue is an American crime drama series about a team of police officers with the Santa Monica Police Department who patrolled its beaches on bicycles. The show ran for five seasons on the USA Network, from March 2, 1996 to April 9, 2000, with a total of one hundred and one episodes. Often compared as ""Baywatch on bikes,"" the series enjoyed a popular run among the Network's viewers, and was popular in France, Israel, Sweden, Bulgaria, Norway, Spain, Russia, Austria, Germany, Italy, South America, Canada, Denmark, Poland, and other foreign markets.","[18, 10759, 80, 10768]",/lVyEixUIkSWSuUQ1RO4fQMXcXgB.jpg,5.4
19530,Pili,"Pili is a puppet show from Taiwan. It is made by Pili International Multimedia. The TV series started in 1985, and it still continues today. It is one of the most popular TV shows in Taiwan. Pili puppet show is performed by many kinds of puppets, some of them are cool, some are intelligent, and some are funny. Unlike traditional puppet shows, Pili puppet show uses state-of-the-art animation to help present its fighting art. The delicate design of the appearance and characteristics of each puppet has made Pili puppet show a well-known entertainment in Taiwan.","[10759, 18]",/c6CKmPSXO8omy0eHQX7TcEtz72i.jpg,7.4
58677,Recuerdo de Amor,"Recuerdo de Amor is a Philippine afternoon drama series which aired on ABS-CBN in 2001-2003. It starred Carmina Villaroel and Diether Ocampo in successful roles.

The TV Series was delayed on May 14 to May 15,2001 and ended on its original end date Worldwide on TFC series also nominated Isabel Rivas for Best Actress in a Drama Series by the PMPC in 2002 alongside Seasoned Actress Pinky De Leon who was also part of the series was also known to use fast paced TV Filmography in its 45 Min Premiere of its Pilot Episode the series was also known for getting outstanding reviews throughout its run to Filipino Customers who had The Filipino Channel Internationally because of its memorable storyline and breathtaking Visual Effects similar to a U.S Soap Opera. The series was also Pinky De Leons last TV Series as she decided to retire from TV and Film Work. The Afternoon Series was also competing with Dramas such as Pangako Sa ’Yo and GMA-7s Rival Soap Kung Mawawala Ka.","[80, 18, 10759]",,0.0
34109,Bakugan Battle Brawlers,Centers on the lives of creatures called Bakugan and the battle brawlers who possess them.,"[10759, 16, 10762, 10765]",/vptVwP1uej035bHzirMtEMSndn.jpg,8.3
4357,Mission: Impossible,"Mission: Impossible is an American television series that was created and initially produced by Bruce Geller. It chronicles the missions of a team of secret government agents known as the Impossible Missions Force. In the first season, the team is led by Dan Briggs, played by Steven Hill; Jim Phelps, played by Peter Graves, takes charge for the remaining seasons. A hallmark of the series shows Briggs or Phelps receiving his instructions on a recording that then self-destructs, followed by the theme music composed by Lalo Schifrin.

The series aired on the CBS network from September 1966 to March 1973, then returned to television for two seasons on ABC, from 1988 to 1990, retaining only Graves in the cast. It later inspired a popular series of theatrical motion pictures starring Tom Cruise, beginning in 1996.","[10759, 80, 18]",/bAnCcwe70IXHRwUgsRJT4ZlQ47o.jpg,7.6
4521,Jake and the Fatman,"Jake and the Fatman is a television crime drama starring William Conrad as prosecutor J. L. ""Fatman"" McCabe and Joe Penny as investigator Jake Styles.

The series ran on CBS for five seasons from 1987 to 1992. Diagnosis: Murder was a spin-off of this series.","[18, 80, 10759]",/3WBkepiTwgemGDZadyJTV5SmS4l.jpg,6.0
45854,Yu-Gi-Oh! Zexal,"When aspiring duelist Yuma meets Astral, a mysterious visitor from another universe, it seems like destiny. Yuma needs Astral to teach him how to duel, and Astral needs Yuma to help him regain his memories!","[16, 35, 10759, 10765, 10762]",/fA1Z8yD3d1rbNITKtZIzy5B0riM.jpg,7.2
56387,Fist of the North Star,"In the year 199X, human civilization has been all but destroyed by a nuclear holocaust.","[10759, 16, 10765, 18]",/yypGXmBPvyJiD7pOeD2R3q84FlA.jpg,8.2
1402,The Walking Dead,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,"[10759, 18, 10765]",/yTNP9UOdUbGBUZ7SSVng75IwAaY.jpg,8.1
1532,Starsky & Hutch,"Streetwise Detective David Starsky partners up with a more intellectual partner, Kenneth 'Hutch' Hutchinson, to protect citizens and patrol the streets of Bay City.","[10759, 18, 80]",/aBj5oTi1uibVcXDoCJeKseJNY2d.jpg,7.3
17610,NCIS: Los Angeles,"The exploits of the Los Angeles–based Office of Special Projects (OSP), an elite division of the Naval Criminal Investigative Service that specializes in undercover assignments.","[10759, 18, 80, 9648]",/TIIgcznwNfNr3KOZvxn26eKV99.jpg,7.5
32573,Strike Back,"The series follows John Porter, a former British Special Forces soldier, who is drafted back into service by Section 20, a fictional branch of the Secret Intelligence Service.","[18, 10759]",/c0ItaC2Grf4WVJ06G87BjNn9pRs.jpg,7.4
10083,The Fugitive,"Richard Kimble is falsely convicted of his wife's murder and given the death penalty. En route to death row, Kimble's train derails and crashes, allowing him to escape and begin a cross-country search for the real killer, a ""one-armed man"". At the same time, Dr. Kimble is hounded by the authorities, most notably dogged by Police Lieutenant Philip Gerard.","[10759, 18, 9648]",/cSvrnCMFX8OWqHSkUwERfKU7mnP.jpg,7.2
